Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,split
70,5.6,2.5,3.9,1.1,Iris-versicolor,0.8593983263743754
71,5.9,3.2,4.8,1.8,Iris-versicolor,0.00511503685594913
73,6.3,2.5,4.9,1.5,Iris-versicolor,0.8177448468949375
74,6.1,2.8,4.7,1.2,Iris-versicolor,-0.40867656634787425
75,6.4,2.9,4.3,1.3,Iris-versicolor,0.17229344230103497
76,6.6,3.0,4.4,1.4,Iris-versicolor,1.2776329967485
77,6.8,2.8,4.8,1.4,Iris-versicolor,-0.9080661660553135
78,6.7,3.0,5.0,1.7,Iris-versicolor,0.03236131525352584
79,6.0,2.9,4.5,1.5,Iris-versicolor,-0.7246568055170931
80,5.7,2.6,3.5,1.0,Iris-versicolor,0.19317536291153287
81,5.5,2.4,3.8,1.1,Iris-versicolor,-0.10128749919680857
82,5.5,2.4,3.7,1.0,Iris-versicolor,0.29903482008066185
83,5.8,2.7,3.9,1.2,Iris-versicolor,0.26721572593579973
85,5.4,3.0,4.5,1.5,Iris-versicolor,1.385255382391311
87,6.7,3.1,4.7,1.5,Iris-versicolor,0.9566544871418489
88,6.3,2.3,4.4,1.3,Iris-versicolor,0.49714726961324995
89,5.6,3.0,4.1,1.3,Iris-versicolor,-0.025123186448053832
92,6.1,3.0,4.6,1.4,Iris-versicolor,-0.5209681675242234
95,5.6,2.7,4.2,1.3,Iris-versicolor,0.13054859081595746
96,5.7,3.0,4.2,1.2,Iris-versicolor,1.3752907739903952
97,5.7,2.9,4.2,1.3,Iris-versicolor,-0.37024448568241863
98,6.2,2.9,4.3,1.3,Iris-versicolor,2.6785533383333466
99,5.1,2.5,3.0,1.1,Iris-versicolor,-0.7101894064796384
100,5.7,2.8,4.1,1.3,Iris-versicolor,-0.058744812483626715
101,6.3,3.3,6.0,2.5,Iris-virginica,0.34039789960194783
102,5.8,2.7,5.1,1.9,Iris-virginica,0.8249381284801096
104,6.3,2.9,5.6,1.8,Iris-virginica,-1.8958828109445354
105,6.5,3.0,5.8,2.2,Iris-virginica,0.10404818031272116
106,7.6,3.0,6.6,2.1,Iris-virginica,-0.04205432728571052
107,4.9,2.5,4.5,1.7,Iris-virginica,-0.7572043098355742
109,6.7,2.5,5.8,1.8,Iris-virginica,-0.4276742185975695
110,7.2,3.6,6.1,2.5,Iris-virginica,-0.02612781585402503
111,6.5,3.2,5.1,2.0,Iris-virginica,-1.0254674327352369
113,6.8,3.0,5.5,2.1,Iris-virginica,1.463648264399373
114,5.7,2.5,5.0,2.0,Iris-virginica,0.5406621565272348
117,6.5,3.0,5.5,1.8,Iris-virginica,0.49898789358541645
118,7.7,3.8,6.7,2.2,Iris-virginica,0.15017420106846777
120,6.0,2.2,5.0,1.5,Iris-virginica,0.4073822632663688
122,5.6,2.8,4.9,2.0,Iris-virginica,-0.5730049437706498
123,7.7,2.8,6.7,2.0,Iris-virginica,-1.243380486667661
124,6.3,2.7,4.9,1.8,Iris-virginica,1.5432768007365114
125,6.7,3.3,5.7,2.1,Iris-virginica,-0.08344108342117122
126,7.2,3.2,6.0,1.8,Iris-virginica,1.5857878082069623
127,6.2,2.8,4.8,1.8,Iris-virginica,0.5112108770927789
129,6.4,2.8,5.6,2.1,Iris-virginica,-0.04364333331368612
130,7.2,3.0,5.8,1.6,Iris-virginica,0.27220197861717926
131,7.4,2.8,6.1,1.9,Iris-virginica,1.568368884609037
134,6.3,2.8,5.1,1.5,Iris-virginica,-0.550952126255519
135,6.1,2.6,5.6,1.4,Iris-virginica,-0.7660899128997603
136,7.7,3.0,6.1,2.3,Iris-virginica,1.0182188213472432
138,6.4,3.1,5.5,1.8,Iris-virginica,0.8146466668193387
139,6.0,3.0,4.8,1.8,Iris-virginica,-1.502227272740077
141,6.7,3.1,5.6,2.4,Iris-virginica,0.2526202639889062
142,6.9,3.1,5.1,2.3,Iris-virginica,0.17563865316180016
143,5.8,2.7,5.1,1.9,Iris-virginica,0.03025414291008513
144,6.8,3.2,5.9,2.3,Iris-virginica,-1.0375452926033606
145,6.7,3.3,5.7,2.5,Iris-virginica,0.6943849933148901
146,6.7,3.0,5.2,2.3,Iris-virginica,0.519469715133144
147,6.3,2.5,5.0,1.9,Iris-virginica,2.172972179013539
148,6.5,3.0,5.2,2.0,Iris-virginica,-0.05008264776789167
149,6.2,3.4,5.4,2.3,Iris-virginica,0.2272329974212496
150,5.9,3.0,5.1,1.8,Iris-virginica,1.1848818691160343
