CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,ZN
0,0.437,6.286,45.0,4.5026,5,398,18.7,383.23,0.0
0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,0.0
0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,0.0
0,0.437,6.232,53.7,5.0141,5,398,18.7,386.4,0.0
0,0.437,5.874,36.6,4.5026,5,398,18.7,396.06,0.0
0,0.426,6.727,33.5,5.4007,4,281,19.0,396.9,25.0
0,0.426,6.619,70.4,5.4007,4,281,19.0,395.63,25.0
0,0.426,6.302,32.2,5.4007,4,281,19.0,396.9,25.0
0,0.426,6.167,46.7,5.4007,4,281,19.0,390.64,25.0
0,0.449,6.389,48.0,4.7794,3,247,18.5,396.9,0.0
0,0.449,6.63,56.1,4.4377,3,247,18.5,392.3,0.0
0,0.449,6.015,45.1,4.4272,3,247,18.5,395.99,0.0
0,0.449,6.121,56.8,3.7476,3,247,18.5,395.15,0.0
0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,0.0
0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,0.0
0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,0.0
0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,0.0
0,0.464,6.442,53.6,3.6659,4,270,18.2,395.01,28.0
0,0.464,6.211,28.9,3.6659,4,270,18.2,396.33,28.0
0,0.464,6.249,77.3,3.615,4,270,18.2,396.9,28.0
0,0.445,6.625,57.8,3.4952,2,276,18.0,357.98,0.0
0,0.445,6.163,69.6,3.4952,2,276,18.0,391.83,0.0
0,0.445,8.069,76.0,3.4952,2,276,18.0,396.9,0.0
0,0.445,7.82,36.9,3.4952,2,276,18.0,393.53,0.0
